UPDATE Locales_gameobject Set name_loc3 = | Eliza's Grabstein| WHERE entry = 37; --Name: Eliza|s Grabstein
UPDATE Locales_gameobject Set name_loc3 = | Captain Sanders Brust| WHERE entry = 38; --Name: Captain Sanders Brust
UPDATE Locales_gameobject Set name_loc3 = | Hügel des losen Schmutz| WHERE entry = 59; --Name: Hügel des losen Schmutz
UPDATE Locales_gameobject Set name_loc3 = | Abercrombie Kiste| WHERE entry = 167; --Name: Abercrombie|s-Kiste
UPDATE Locales_gameobject Set name_loc3 = | Kiste von Lebensmitteln| WHERE entry = 249; --Name: Kiste von Lebensmitteln
UPDATE Locales_gameobject Set name_loc3 = | Forschung Ausrüstung| WHERE entry = 251; --Name: Forschung Ausrüstung
UPDATE Locales_gameobject Set name_loc3 = | Gesucht: Chok'Sul| WHERE entry = 254; --Name: wollte: Chok| Sul
UPDATE Locales_gameobject Set name_loc3 = | Wasser Pitcher| WHERE entry = 337; --Name: Wasser-Krug
UPDATE Locales_gameobject Set name_loc3 = | Wollte! | WHERE entry = 711; --Name: wollte!
UPDATE Locales_gameobject Set name_loc3 = | Leiche beladenen Boat| WHERE entry = 1593; --Name: Leiche beladenen Boot
UPDATE Locales_gameobject Set name_loc3 = | Flache Grave| WHERE entry = 1599; --Name: Shallow Grave
UPDATE Locales_gameobject Set name_loc3 = | Agamand Mills| WHERE entry = 1631; --Name: Agamand Mills
UPDATE Locales_gameobject Set name_loc3 = | Brill| WHERE entry = 1632; --Name: Brill
UPDATE Locales_gameobject Set name_loc3 = | Grabgeläute| WHERE entry = 1638; --Name: Grabgeläute
UPDATE Locales_gameobject Set name_loc3 = | Stanleys Dish| WHERE entry = 1720; --Name: Stanley|s Gericht
UPDATE Locales_gameobject Set name_loc3 = | Syndikat Dokumente| WHERE entry = 1738; --Name: Syndikat Dokumente
UPDATE Locales_gameobject Set name_loc3 = | Syndikat Dokumente| WHERE entry = 1739; --Name: Syndikat Dokumente
UPDATE Locales_gameobject Set name_loc3 = | Anvil| WHERE entry = 1752; --Name: Anvil
UPDATE Locales_gameobject Set name_loc3 = | Schmieden| WHERE entry = 1753; --Name: Schmieden
UPDATE Locales_gameobject Set name_loc3 = | Anvil| WHERE entry = 1754; --Name: Anvil
UPDATE Locales_gameobject Set name_loc3 = | Schmieden| WHERE entry = 1755; --Name: Schmieden
UPDATE Locales_gameobject Set name_loc3 = | wollte| WHERE entry = 1763; --Name: wollte
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1798; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1803; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1818; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1821; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1828; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1830; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1871; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1888; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1889; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1890; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Forge| WHERE entry = 1896; --Name: Schmieden
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1905; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1906; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1912; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1922; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1927; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1930; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1931; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1932; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1935; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1938; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1942; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1965; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1968; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1993; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1994; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1995; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 1996; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 2003; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Schwelenden Fire| WHERE entry = 2004; --Name: schwelende Feuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 2007; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Gefährlich! | WHERE entry = 2008; --Name: gefährlich!
UPDATE Locales_gameobject Set name_loc3 = | Grabgeläute| WHERE entry = 2035; --Name: Grabgeläute
UPDATE Locales_gameobject Set name_loc3 = | Wein Fass| WHERE entry = 2130; --Name: Wein Fass
UPDATE Locales_gameobject Set name_loc3 = | Käse-Schneidgeräte| WHERE entry = 2148; --Name: Käse-Schneidgeräte
UPDATE Locales_gameobject Set name_loc3 = | die sieben tödliche Gifte| WHERE entry = 2149; --Name: die sieben tödliche Gifte
UPDATE Locales_gameobject Set name_loc3 = | Thane des Boots und Schulterpolster| WHERE entry = 2151; --Name: Thane|s Stiefel und Schulterpolster
UPDATE Locales_gameobject Set name_loc3 = | Magier-Viertel| WHERE entry = 2188; --Name: Magier-Viertel
